Full Course Info,Subject,Course,Title,Prerequisites
ETCE 3242 - Hydraulics & Hydrology,ETCE,3242,Hydraulics & Hydrology,ETGR 2102 and ETCE 2410 and PHYS 1102
ETCE 4266 - Reinforced Concrete Design,ETCE,4266,Reinforced Concrete Design,ETCE 3163 or ETCE 3111 or ETCE 3264 or ETCE 3112
ETCE 4350 - Const Geotech & Foundations,ETCE,4350,Const Geotech & Foundations,ETCE 3131
ETCE 1211L - Construction Surveying I Lab,ETCE,1211L,Construction Surveying I Lab,MATH 1103
ETCE 2163L - Construction Mat. and Str. Lab,ETCE,2163L,Construction Mat. and Str. Lab,ETCE 1222 and ETGR 2102
ETEL 2101 - Circuit Fundamentals,ETEL,2101,Circuit Fundamentals,MATH 1103
ETEL 2271 - Digital Fundamentals,ETEL,2271,Digital Fundamentals,MATH 1103 and ETEL 2171
ETEL 2281 - Doing and Making,ETEL,2281,Doing and Making,ETEL 2181 and ETEL 2271
"ETEL 3231 - Power, Machines and Energy",ETEL,3231,"Power, Machines and Energy",ETEL 3131 or ELET 2241
ETEL 3261 - Applied Control Systems,ETEL,3261,Applied Control Systems,ETEL 3101
ETEL 4161 - Elements of Automation,ETEL,4161,Elements of Automation,ETEL 3181
ETFS 3103L - Fire Behavior Lab,ETFS,3103L,Fire Behavior Lab,ETFS 3103
ETGR 1201 - Intro to Engr Tech,ETGR,1201,Intro to Engr Tech,MATH 1100 or MATH 1101
ETGR 2101 - Applied Mechanics I,ETGR,2101,Applied Mechanics I,MATH 1103
ETGR 2102 - Applied Mechanics II,ETGR,2102,Applied Mechanics II,ETGR 2101
ETGR 2106 - Electronic Circuits & Devices,ETGR,2106,Electronic Circuits & Devices,MATH 1103
ETGR 2272 - Engineering Analysis II,ETGR,2272,Engineering Analysis II,ETGR 2171 or MATH 1121 or MATH 1241
ETGR 3171 - Engineering Analysis III,ETGR,3171,Engineering Analysis III,MATH 1242 or ETGR 2272
ETGR 4100 - Capstone Design Project I,ETGR,4100,Capstone Design Project I,(ETME 3100 and ETME 3113 and ETME 3143 or ETME 3250 and ETME 3150 and ETME 3213) or ETEL 3281
ETGR 4200 - Capstone Design Project II,ETGR,4200,Capstone Design Project II,ETGR 4100
ETGR 4302 - Industrial Hygiene,ETGR,4302,Industrial Hygiene,ETGR 2230 and CHEM 1200 and (MATH 1100 or MATH 1101) and PHYS 1101
ETGR 4303 - Applied Ergo & Human Factors,ETGR,4303,Applied Ergo & Human Factors,ETGR 2230 and (MATH 1100 or MATH 1101) and PHYS 1101
ETME 1112 - CAD Modeling II,ETME,1112,CAD Modeling II,ETME 1111
ETME 2102 - Mechanisms,ETME,2102,Mechanisms,ETME 1111 and (PHYS 1101 or PHYS 2101) and (MATH 1121 or MATH 1241)
ETME 2142 - Applied Manufacturing,ETME,2142,Applied Manufacturing,ETGR 1101 or ETGR 1201
ETME 3100 - Junior Design Practicum,ETME,3100,Junior Design Practicum,ETME 2100 and ETME 3133
ETME 3150 - App CAD Modeling & Simulation,ETME,3150,App CAD Modeling & Simulation,ETME 1111 and ETME 2102 and ETME 3123
ETME 3213 - Machine Design I,ETME,3213,Machine Design I,ETME 2102 and ETME 3123 and (ETME 2130 or ETME 2141)
ETME 3250 - Princ. of Thermal Engineering,ETME,3250,Princ. of Thermal Engineering,(ETGR 2272 or MATH 1242) and ETME 3133
ETME 4250 - Thermal Engineering Appl.,ETME,4250,Thermal Engineering Appl.,ETME 3250
ETME 3123L - Stress Analysis Laboratory,ETME,3123L,Stress Analysis Laboratory,ETME 3123 and (UWRT 1103 or WRDS 1103) or (UWRT 1104 or WRDS 1104)
ETME 4250L - Thermal Fluids Laboratory,ETME,4250L,Thermal Fluids Laboratory,(WRDS 1103 or WRDS 1104) and ETME 3250
EXER 2169 - Hum Anat & Phys for Hlth Pr II,EXER,2169,Hum Anat & Phys for Hlth Pr II,(KNES 2168 or EXER 2168) and (KNES 2168L or EXER 2168L)
EXER 2298 - Applied Kinesiology,EXER,2298,Applied Kinesiology,(EXER 2168 or KNES 2168) and (EXER 2168L or KNES 2168L) or (BIOL 2273 and BIOL 2273L)
EXER 3280 - Exer Physiology:Princ & Theory,EXER,3280,Exer Physiology:Princ & Theory,(KNES 2169 or EXER 2169) or BIOL 2274 or BIOL 1274 or BIOL 0074
EXER 3285 - Principles of Strength & Cond,EXER,3285,Principles of Strength & Cond,KNES 3280 or EXER 3280
EXER 3286 - Exer Testing: Found & Theory,EXER,3286,Exer Testing: Found & Theory,EXER 3280 or ATRN 3280 or KNES 3280
EXER 3287 - Exer Testing:Principles & Apps,EXER,3287,Exer Testing:Principles & Apps,KNES 3280 or EXER 3280
EXER 3490 - Exercise Science Internship,EXER,3490,Exercise Science Internship,(KNES 3660 or EXER 3660) and (KNES 2290 or EXER 2290)
EXER 4121 - Pharma for the Phys Active,EXER,4121,Pharma for the Phys Active,EXER 3280 or ATRN 3280 or KNES 3280
EXER 4285 - Adv Str & Cond Theory & Tech,EXER,4285,Adv Str & Cond Theory & Tech,(KNES 3285 or EXER 3285)
EXER 4286 - Exercise Prescription,EXER,4286,Exercise Prescription,(EXER 3286 or ATRN 3286 or KNES 3286) and (EXER 3287 or ATRN 3287 or KNES 3287)
EXER 4293 - Biomechanics,EXER,4293,Biomechanics,EXER 3280 or ATRN 3280 or KNES 3280
EXER 4490 - Exercise Science Internship,EXER,4490,Exercise Science Internship,(KNES 2290 or EXER 2290) and (KNES 3660 or EXER 3660)
EXER 2169L - Hum Anat & Phys Lab II Hlth,EXER,2169L,Hum Anat & Phys Lab II Hlth,(KNES 2168 or EXER 2168) and (KNES 2168L or EXER 2168L)
FILM 3221 - Advanced Screenwriting,FILM,3221,Advanced Screenwriting,FILM 3220
FILM 4220 - Film Fests & Impact Production,FILM,4220,Film Fests & Impact Production,FILM 3120
FILM 4221 - Community-Based Film Prod.,FILM,4221,Community-Based Film Prod.,(FILM 2201 or FILM 1502) and FILM 3120
FILM 4690 - Capstone Film/Media Production,FILM,4690,Capstone Film/Media Production,FILM 3120
FINN 3120 - Financial Management,FINN,3120,Financial Management,ACCT 2121 and (ACCT 2122 or ACCT 3323) and (ECON 2101 or ECON 1201) and (ECON 2102 or ECON 1202) and INFO 2130 and (MATH 1120 or MATH 1241 or MATH 1242) and (STAT 1220 or STAT 1221 or STAT 1222 or STAT 2122)
FINN 3222 - Investments,FINN,3222,Investments,FINN 3120
FINN 3223 - International Fin Management,FINN,3223,International Fin Management,FINN 3120
FINN 3225 - Commercial Bank Management,FINN,3225,Commercial Bank Management,FINN 3120
FINN 3226 - Financial Theory & Practice,FINN,3226,Financial Theory & Practice,FINN 3120
FINN 3255 - Real Estate Principles,FINN,3255,Real Estate Principles,FINN 3120
FINN 3261 - Real Estate Finance,FINN,3261,Real Estate Finance,FINN 3120
FINN 3265 - Asset & Property Management,FINN,3265,Asset & Property Management,FINN 3255
FINN 3271 - Prin of Risk Mgmt & Insur,FINN,3271,Prin of Risk Mgmt & Insur,INFO 2130
FINN 3272 - Life Ins & Prof Fin Planning,FINN,3272,Life Ins & Prof Fin Planning,INFO 2130 and (ACCT 3311 or ACCT 3323)
FINN 3273 - Property and Liab Insur Oper,FINN,3273,Property and Liab Insur Oper,INFO 2130
FINN 3278 - RMI Sales and Negotiations,FINN,3278,RMI Sales and Negotiations,INFO 2130
FINN 4159 - Student Managed Invest Fund II,FINN,4159,Student Managed Invest Fund II,FINN 4158
FINN 4160 - Equity Analysis,FINN,4160,Equity Analysis,FINN 3120
FINN 4275 - Enterprise Risk Management,FINN,4275,Enterprise Risk Management,FINN 3271
FINN 6210 - Financial Elements Derivatives,FINN,6210,Financial Elements Derivatives,FINN 6152
FINN 6212 - Adv Methods in Math Fin,FINN,6212,Adv Methods in Math Fin,FINN 6210
FINN 6215 - Risk Mgmt in Corporations,FINN,6215,Risk Mgmt in Corporations,FINN 6203
FINN 6216 - Quantitative Risk Management,FINN,6216,Quantitative Risk Management,FINN 6203
FLED 5104 - Assessment in Teaching FLED,FLED,5104,Assessment in Teaching FLED,MDSK 6162 and MDSK 5204 and (MDSK 6162L or MDSK 6163) and FLED 5200 and (MDSK 5100L or FLED 5105)
