Full Course Info,Subject,Course,Title,Prerequisites
MGMT 3243 - Employment Law,MGMT,3243,Employment Law,MGMT 3140
MGMT 3260 - Managerial Communication,MGMT,3260,Managerial Communication,MGMT 3140 and COMM 3160
MGMT 3275 - International Business Mgmt,MGMT,3275,International Business Mgmt,MGMT 3140
MGMT 3277 - Entrepreneurship,MGMT,3277,Entrepreneurship,MGMT 3140 or ENTR 3276
MGMT 3280 - Strategic Management,MGMT,3280,Strategic Management,ECON 3125 and INFO 3130 and OPER 3100 and MKTG 3110 and FINN 3120 and BLAW 3150 and MGMT 3140 and (MGMT 3160 or COMM 3160)
MGMT 3282 - Managerial Ethics,MGMT,3282,Managerial Ethics,MGMT 3140
MGMT 3287 - Managerial Leadership,MGMT,3287,Managerial Leadership,MGMT 3140 and MGMT 3282
MKTG 3000 - Topics in Marketing,MKTG,3000,Topics in Marketing,MKTG 3110
MKTG 3110 - Principles of Marketing,MKTG,3110,Principles of Marketing,ACCT 2121 and (ACCT 2122 or ACCT 3323) and (ECON 2101 or ECON 1201) and (ECON 2102 or ECON 1202) and INFO 2130 and (MATH 1120 or MATH 1241 or MATH 1242) and (STAT 1220 or STAT 1221 or STAT 1222 or STAT 2122)
MKTG 3210 - Consumer Behavior,MKTG,3210,Consumer Behavior,MKTG 3110
MKTG 3220 - Digital Marketing,MKTG,3220,Digital Marketing,MKTG 3110
MKTG 3222 - Marketing Research,MKTG,3222,Marketing Research,MKTG 3110
MKTG 3224 - Product and Brand Mgmt,MKTG,3224,Product and Brand Mgmt,MKTG 3110
MKTG 3225 - Integrated MKTG Comm,MKTG,3225,Integrated MKTG Comm,MKTG 3110
MKTG 3226 - B2B Marketing and Retailing,MKTG,3226,B2B Marketing and Retailing,MKTG 3110
MKTG 3228 - Marketing Analytics,MKTG,3228,Marketing Analytics,MKTG 3110
MKTG 3230 - Social/Mobile Mktg & Analytics,MKTG,3230,Social/Mobile Mktg & Analytics,MKTG 3110
MKTG 3231 - Global Marketing,MKTG,3231,Global Marketing,MKTG 3110
MKTG 3400 - Marketing Internship,MKTG,3400,Marketing Internship,MKTG 3110
MPAD 6102 - Foundations in Public Admn,MPAD,6102,Foundations in Public Admn,POLS 1110 or POLS 1511
MPAD 6125 - Quant Rsch Meth Public Admn,MPAD,6125,Quant Rsch Meth Public Admn,STAT 1220 or STAT 1221 or STAT 1222 or STAT 2122
MPAD 6126 - Data Analysis Decision Making,MPAD,6126,Data Analysis Decision Making,(STAT 1220 or STAT 1221 or STAT 1222 or STAT 2122) and MPAD 6125
MPAD 6134 - Human Resources Management,MPAD,6134,Human Resources Management,POLS 1110 or POLS 1511
MPAD 6187 - Adv Sem in Pub Mgmt Prob Solv,MPAD,6187,Adv Sem in Pub Mgmt Prob Solv,MPAD 6102 and MPAD 6104 and MPAD 6125 and MPAD 6126 and MPAD 6131 and MPAD 6134
MPAD 6188 - Rsch Appl in Public Admn,MPAD,6188,Rsch Appl in Public Admn,MPAD 6102 and MPAD 6104 and MPAD 6125 and MPAD 6126 and MPAD 6131 and MPAD 6134
MSCI 3102 - Applied Team Leadership,MSCI,3102,Applied Team Leadership,MSCI 3101
MSCI 4102 - Leadership Complex World,MSCI,4102,Leadership Complex World,MSCI 4101
MSRE 6101 - Real Estate Seminar,MSRE,6101,Real Estate Seminar,MSRE 5110 and MSRE 5131
MSRE 6120 - Real Estate Law,MSRE,6120,Real Estate Law,MSRE 5110 and MSRE 5131
MSRE 6160 - Real Estate Capital Markets,MSRE,6160,Real Estate Capital Markets,MSRE 6152 and MSRE 5110 and MSRE 5131
MSRE 6220 - Real Estate Investments,MSRE,6220,Real Estate Investments,MSRE 6159 or MSRE 6158
MSRE 6238 - Real Estate & Urban Economics,MSRE,6238,Real Estate & Urban Economics,ECON 2102
MSRE 6258 - Site Feasibility Analysis,MSRE,6258,Site Feasibility Analysis,MSRE 5110 and MSRE 5131
MSRE 6999 - Real Estate Capstone,MSRE,6999,Real Estate Capstone,MSRE 5110 and MSRE 5131 and MSRE 6101 and MSRE 6102 and MSRE 6120 and MSRE 6130 and MSRE 6152 and MSRE 6158 and MSRE 6159 and MSRE 6220 and MSRE 6230 and MSRE 6258
MUDD 6102 - Urban Design Studio II,MUDD,6102,Urban Design Studio II,MUDD 6101
MUED 2241 - Music Development & Learning,MUED,2241,Music Development & Learning,MUED 2200
MUED 4192 - General Music Methods,MUED,4192,General Music Methods,MUSC 2400
MUED 4192L - General Methods Lab,MUED,4192L,General Methods Lab,MUSC 2400
MUPF 3241 - Adv Applied Music: Trumpet,MUPF,3241,Adv Applied Music: Trumpet,MUSC 2400
MUPF 3248 - Adv Applied Music: Piano,MUPF,3248,Adv Applied Music: Piano,MUSC 2400
MUPF 3250 - Adv Applied Music: Viola,MUPF,3250,Adv Applied Music: Viola,MUSC 2400
MUPF 3253 - Adv Applied Music:  Voice,MUPF,3253,Adv Applied Music:  Voice,MUSC 2400
MUPF 3254 - Adv Applied Music:  Flute,MUPF,3254,Adv Applied Music:  Flute,MUSC 2400
MUPF 3256 - Adv Applied Music:  Saxophone,MUPF,3256,Adv Applied Music:  Saxophone,MUSC 2400
MUSC 1230 - Structure & Style of Music I,MUSC,1230,Structure & Style of Music I,MUSC 1100
MUSC 1231 - Structure & Style of Music II,MUSC,1231,Structure & Style of Music II,MUSC 1230
MUSC 1233 - Class Piano I,MUSC,1233,Class Piano I,MUSC 1100
MUSC 1234 - Class Piano II,MUSC,1234,Class Piano II,MUSC 1233
MUSC 2138 - Phon & Art II: English Diction,MUSC,2138,Phon & Art II: English Diction,MUSC 2137
MUSC 2230 - Structure & Style of Music III,MUSC,2230,Structure & Style of Music III,MUSC 1231
MUSC 2231 - Structure & Style of Music IV,MUSC,2231,Structure & Style of Music IV,MUSC 2230
MUSC 2233 - Class Piano III,MUSC,2233,Class Piano III,MUSC 1234
MUSC 2234 - Class Piano IV,MUSC,2234,Class Piano IV,MUSC 2233
MUSC 2236 - Jazz Improvisation II,MUSC,2236,Jazz Improvisation II,MUSC 2235
MUSC 2238 - Phon & Art IV: French Diction,MUSC,2238,Phon & Art IV: French Diction,MUSC 2237
MUSC 2240 - Introduction to Composition,MUSC,2240,Introduction to Composition,MUSC 1231 and MUSC 1231L
MUSC 3135 - Choral Conducting,MUSC,3135,Choral Conducting,MUSC 2138 and MUSC 3134
MUSC 3136 - Instrumental Conducting,MUSC,3136,Instrumental Conducting,MUSC 3134
MUSC 3171 - Music History II,MUSC,3171,Music History II,MUSC 2231 and MUSC 2231L
MUSC 4135 - Percussion Pedagogy & Lit,MUSC,4135,Percussion Pedagogy & Lit,MUSC 2400
MUSC 4137 - Vocal Pedagogy,MUSC,4137,Vocal Pedagogy,MUSC 2400
MUSC 4138 - Jazz Pedagogy,MUSC,4138,Jazz Pedagogy,MUSC 2400
MUSC 4230 - Form and Analysis,MUSC,4230,Form and Analysis,MUSC 2400
MUSC 4240 - Composition,MUSC,4240,Composition,MUSC 4145 or MUSC 4235
MUSC 1230L - Aural Skills & Sight-Sing I,MUSC,1230L,Aural Skills & Sight-Sing I,MUSC 1102
MUSC 1231L - Aural Skills & Sight-Sing II,MUSC,1231L,Aural Skills & Sight-Sing II,MUSC 1230L
MUSC 2230L - Aural Skills & Sight-Sing III,MUSC,2230L,Aural Skills & Sight-Sing III,MUSC 1231L
MUSC 2231L - Aural Skills and Sight-Sing IV,MUSC,2231L,Aural Skills and Sight-Sing IV,MUSC 2230L
NANO 8103 - Synth & Charct Nanomaterials,NANO,8103,Synth & Charct Nanomaterials,NANO 8101 and NANO 8102
NUAN 8154 - Adv Pharm Non-Anesthetic Agent,NUAN,8154,Adv Pharm Non-Anesthetic Agent,NUAN 8155
NUAN 8157 - Adv Patho Nrs Anesthesia I,NUAN,8157,Adv Patho Nrs Anesthesia I,NURS 6273
NUAN 8162 - Principles II,NUAN,8162,Principles II,NUAN 6151
NUAN 8171 - Prof Aspect Nrs Anesthesia,NUAN,8171,Prof Aspect Nrs Anesthesia,NUAN 8488
NUAN 8486 - Residency III,NUAN,8486,Residency III,NUAN 8159 and NUAN 8485
NUAN 8489 - Clinical Residency VI,NUAN,8489,Clinical Residency VI,NUAN 8488
NUDN 8642 - Proj Develop II,NUDN,8642,Proj Develop II,NUDN 8641
NUNP 6203 - Adv Care of Critically Ill Adu,NUNP,6203,Adv Care of Critically Ill Adu,NUNP 6202 and NUNP 6250
NUNP 6260 - Adv Primary Care of Child/Adol,NUNP,6260,Adv Primary Care of Child/Adol,NURS 6220 and NURS 6230 and NURS 6430 and NUNP 6250 and NUNP 6450
NUNP 6402 - Adv Prac Nurs Comp Care Pract,NUNP,6402,Adv Prac Nurs Comp Care Pract,NUNP 6202
NUNP 6440 - Adv Prim Care Reprod Hlth Prac,NUNP,6440,Adv Prim Care Reprod Hlth Prac,NUNP 6240
NUNP 6460 - Adv Prim Care Child/Adol Pract,NUNP,6460,Adv Prim Care Child/Adol Pract,NURS 6220 and NURS 6230 and NURS 6430 and NUNP 6250 and NUNP 6450
NURN 4100 - Aging and Health,NURN,4100,Aging and Health,NURN 3103 and NURN 3108 and NURN 3104
NURN 4440 - Community Health Nursing,NURN,4440,Community Health Nursing,NURN 3103 and NURN 3108 and NURN 3104
NURS 2100 - General Nutrition,NURS,2100,General Nutrition,CHEM 1204 or CHEM 1252
NURS 2200 - Human Growth & Development,NURS,2200,Human Growth & Development,BIOL 2273 and BIOL 2273L or (KNES 2168 or EXER 2168) and (KNES 2168L or EXER 2168L)
NURS 3108 - Hlth Assessmnt and Application,NURS,3108,Hlth Assessmnt and Application,NURS 3105 and NURS 3107
NURS 3205 - Pharmacology in Hlth & Illness,NURS,3205,Pharmacology in Hlth & Illness,NURS 3107
NURS 3250 - Nurs Care Childbearing Family,NURS,3250,Nurs Care Childbearing Family,NURS 3102 and NURS 3105 and NURS 3107 and NURS 3108 and NURS 3425
NURS 3260 - Nursing Care of Children,NURS,3260,Nursing Care of Children,NURS 3102 and NURS 3105 and NURS 3107 and NURS 3108 and NURS 3425
NURS 3430 - Pract Illness & Disease Mgmt,NURS,3430,Pract Illness & Disease Mgmt,NURS 3108 and NURS 3230
NURS 3440 - Pract Nurs Care Child Family,NURS,3440,Pract Nurs Care Child Family,NURS 3108
NURS 4120 - Psychiatric-Mental Hlth Nurs,NURS,4120,Psychiatric-Mental Hlth Nurs,NURS 3430 and NURS 3440
NURS 4130 - Complex Illness & Disease Mgmt,NURS,4130,Complex Illness & Disease Mgmt,NURS 3230
NURS 4430 - Prac Comp Illn & Disease Mgmt,NURS,4430,Prac Comp Illn & Disease Mgmt,NURS 3230 and NURS 3430
NURS 4450 - Design & Coordination of Care,NURS,4450,Design & Coordination of Care,NURS 4430
NURS 6230 - Adv Hlth Assess & Diag Reason,NURS,6230,Adv Hlth Assess & Diag Reason,BIOL 6274 or BIOL 6273
NURS 6430 - Adv Hlth Assessment Pract,NURS,6430,Adv Hlth Assessment Pract,BIOL 6273 or BIOL 6274
NURS 6485 - Adv Pract Nurs Admn & Lead,NURS,6485,Adv Pract Nurs Admn & Lead,NURS 6185
OPER 3100 - Operations Management,OPER,3100,Operations Management,(MATH 1120 or MATH 1241 or MATH 1242) and (STAT 1220 or STAT 1221 or STAT 1222 or STAT 2122) and ACCT 2121 and (ACCT 2122 or ACCT 3323) and (ECON 2101 or ECON 1201) and (ECON 2102 or ECON 1202) and INFO 2130
OPER 3201 - Operations Planning & Control,OPER,3201,Operations Planning & Control,OPER 3100
OPER 3203 - Decision Modeling & Analysis,OPER,3203,Decision Modeling & Analysis,OPER 3100
OPER 3204 - Mgmt of Svc & Project Oper,OPER,3204,Mgmt of Svc & Project Oper,OPER 3100
OPER 3206 - Quality Assurance & Mgmt,OPER,3206,Quality Assurance & Mgmt,OPER 3100
OPER 3208 - Supply Chain Management,OPER,3208,Supply Chain Management,OPER 3100
OPRS 3111 - Oper Rsch-Deterministic Models,OPRS,3111,Oper Rsch-Deterministic Models,(MATH 1242 or MATH 2120) and MATH 2164
OPRS 3113 - Oper Rsch-Probabilistic Models,OPRS,3113,Oper Rsch-Probabilistic Models,(MATH 1242 or MATH 2120) and MATH 2164 and (STAT 2122 or STAT 3122 or STAT 3128 or MATH 3122)
OSCI 8208 - Adv Qualitative Data Analysis,OSCI,8208,Adv Qualitative Data Analysis,OSCI 8206
OSCI 8949 - Ind Org Sci Rsch Project II,OSCI,8949,Ind Org Sci Rsch Project II,OSCI 8948
OSCI 8999 - Org Sci Dissertation II,OSCI,8999,Org Sci Dissertation II,OSCI 8998
PHYS 1101 - Introductory Physics I,PHYS,1101,Introductory Physics I,MATH 1100 or MATH 1101 or MATH 1103 or MATH 1120 or MATH 1121 or MATH 1241 or Test A02 or Test S02
PHYS 1102 - Introductory Physics II,PHYS,1102,Introductory Physics II,PHYS 1101
PHYS 2101 - Phys for Science & Engr I,PHYS,2101,Phys for Science & Engr I,MATH 1241 or ENGR 1241
PHYS 2102 - Phys for Science & Engr II,PHYS,2102,Phys for Science & Engr II,PHYS 2101 and MATH 1242
PHYS 3101 - Topics & Meth of General Phys,PHYS,3101,Topics & Meth of General Phys,PHYS 2102 and MATH 1242
PHYS 3102 - Physics for Sci& Eng III,PHYS,3102,Physics for Sci& Eng III,PHYS 2102 and MATH 2171 or MATH 2241 or PHYS 3101
PHYS 3141 - Intro to Modern Physics,PHYS,3141,Intro to Modern Physics,(PHYS 2102 or PHYS 1102) and (MATH 1241 or ENGR 1241) and MATH 1242
PHYS 3220 - Mathematical Methods Physics,PHYS,3220,Mathematical Methods Physics,PHYS 2102 and MATH 2241 and (PHYS 3101 or MEGR 3121)
PHYS 3282 - Adv Lab in Modern Physics,PHYS,3282,Adv Lab in Modern Physics,PHYS 3141
PHYS 3900 - Undergraduate Research,PHYS,3900,Undergraduate Research,PHYS 3282 and PHYS 3283
PHYS 4110 - Intro to Biomedical Optics,PHYS,4110,Intro to Biomedical Optics,PHYS 3141 and MATH 2171 or MATH 2241 and (PHYS 3121 or MEGR 2144)
PHYS 4151 - Thermal Physics,PHYS,4151,Thermal Physics,PHYS 3141 and PHYS 3101 and CHEM 1251 and CHEM 1251L and MATH 2241
PHYS 4222 - Classical Mechanics II,PHYS,4222,Classical Mechanics II,PHYS 3121 and MATH 2241
PHYS 4231 - Electromagnetic Theory I,PHYS,4231,Electromagnetic Theory I,(PHYS 3121 or MEGR 2144) and (MATH 2171 or MATH 2241) and (PHYS 3220 or MATH 2242)
PHYS 4242 - Quantum Mechanics II,PHYS,4242,Quantum Mechanics II,PHYS 4241
PHYS 4271 - Waves & Optics,PHYS,4271,Waves & Optics,(MATH 2171 or PHYS 3101) and (PHYS 3121 or MEGR 2144)
PHYS 5151 - Thermal Physics,PHYS,5151,Thermal Physics,PHYS 3141 and PHYS 3101 and CHEM 1251 and CHEM 1251L and MATH 2241
PHYS 5222 - Classical Mechanics II,PHYS,5222,Classical Mechanics II,PHYS 3121 and MATH 2241
PHYS 5242 - Quantum Mechanics II,PHYS,5242,Quantum Mechanics II,PHYS 4241
PHYS 5271 - Waves and Optics,PHYS,5271,Waves and Optics,PHYS 2102 and MATH 2171
PHYS 6131 - Classical Electromagnetism I,PHYS,6131,Classical Electromagnetism I,PHYS 4232
PHYS 6992 - Physics Thesis Research II,PHYS,6992,Physics Thesis Research II,PHYS 6991
PHYS 1101L - Introductory Physics I Lab,PHYS,1101L,Introductory Physics I Lab,PHYS 1101
PHYS 1102L - Introductory Physics II Lab,PHYS,1102L,Introductory Physics II Lab,(PHYS 1101L or PHYS 2101L) and PHYS 1102
PHYS 1130L - Intro to Astronomy Lab,PHYS,1130L,Intro to Astronomy Lab,PHYS 1130
PHYS 2101L - Phys for Science & Engr I Lab,PHYS,2101L,Phys for Science & Engr I Lab,PHYS 2101
PHYS 2102L - Phys for Science & Engr II Lab,PHYS,2102L,Phys for Science & Engr II Lab,(PHYS 2101L or PHYS 1101L) and PHYS 2102
POLS 2220 - Political Science Methods,POLS,2220,Political Science Methods,(POLS 1110 or POLS 1511 or POLS 1130 or POLS 1501 or POLS 1131 or POLS 1150 or POLS 1151 or POLS 1170) and (MATH 1100 or MATH 1101 or MATH 1103 or MATH 1120 or MATH 1121 or MATH 1241 or MATH 1242 or PHIL 2105 or STAT 1220 or STAT 1222)
POLS 3700 - Honors Research,POLS,3700,Honors Research,POLS 2220
POLS 4163 - Advanced Model United Nations,POLS,4163,Advanced Model United Nations,POLS 3163
POLS 4600 - Senior Seminar,POLS,4600,Senior Seminar,(POLS 1110 or POLS 1511) and (POLS 1130 or POLS 1501 or POLS 1131) and (POLS 1150 or POLS 1151) and POLS 2220
POLS 4700 - Honors Thesis,POLS,4700,Honors Thesis,POLS 3700
POLS 4990 - Senior Thesis,POLS,4990,Senior Thesis,POLS 2220
PPOL 8102 - Public Policy Studio 2,PPOL,8102,Public Policy Studio 2,PPOL 8101 and GRAD 8101
PPOL 8641 - Economic Analysis of PPOL II,PPOL,8641,Economic Analysis of PPOL II,PPOL 8640
PPOL 8663 - Health Policy,PPOL,8663,Health Policy,HADM 6100 or MPAD 6172
PROS 3102 - Project Management: Practition,PROS,3102,Project Management: Practition,PROS 3101
PROS 3104 - ProjManagement: Intro to Agile,PROS,3104,ProjManagement: Intro to Agile,PROS 3101
PROS 3203 - Leadership Essentials: Special,PROS,3203,Leadership Essentials: Special,PROS 3201
PROS 3304 - Role of HR Management in Orgs,PROS,3304,Role of HR Management in Orgs,PROS 3301
PROS 3306 - Acquisition/Talent Development,PROS,3306,Acquisition/Talent Development,PROS 3301
PROS 4101 - Project Manager Advanced Roles,PROS,4101,Project Manager Advanced Roles,PROS 3101
PROS 4600 - Professional Studies Capstone,PROS,4600,Professional Studies Capstone,PROS 3101 or PROS 3201 or PROS 3301
PSYC 2101 - Research Methodology I,PSYC,2101,Research Methodology I,PSYC 1101 and (STAT 1220 or STAT 1221 or STAT 1222)
PSYC 2103 - Research Methodology II,PSYC,2103,Research Methodology II,PSYC 1101 and PSYC 2101 and (STAT 1220 or STAT 1221 or STAT 1222)
PSYC 2104 - Crit Thinking About Research,PSYC,2104,Crit Thinking About Research,PSYC 1101 and PSYC 2101 and (STAT 1220 or STAT 1221 or STAT 1222)
PSYC 2110 - Intro to Comparative Psych,PSYC,2110,Intro to Comparative Psych,PSYC 1101
PSYC 2113 - Intro Brain Behav Mental Procs,PSYC,2113,Intro Brain Behav Mental Procs,PSYC 1101
PSYC 2117 - Intro to Lifespan Dev,PSYC,2117,Intro to Lifespan Dev,PSYC 1101
PSYC 2120 - Child Psychology,PSYC,2120,Child Psychology,PSYC 1101
PSYC 2121 - Adolescent Psychology,PSYC,2121,Adolescent Psychology,PSYC 1101
PSYC 2124 - Psyc of Adult Dvlpmnt & Aging,PSYC,2124,Psyc of Adult Dvlpmnt & Aging,PSYC 1101
PSYC 2130 - Intro to Social Psychology,PSYC,2130,Intro to Social Psychology,PSYC 1101
PSYC 2131 - Intro to Forensic Psychology,PSYC,2131,Intro to Forensic Psychology,PSYC 1101
PSYC 2137 - Intro to Positive Psychology,PSYC,2137,Intro to Positive Psychology,PSYC 1101
PSYC 2150 - Psychology of Adjustment,PSYC,2150,Psychology of Adjustment,PSYC 1101
PSYC 2151 - Psyc Dstrs Dysfnc & Disordr,PSYC,2151,Psyc Dstrs Dysfnc & Disordr,PSYC 1101
PSYC 2155 - Psyc Approaches to Diversity,PSYC,2155,Psyc Approaches to Diversity,PSYC 1101
PSYC 2160 - Intro to Health Psychology,PSYC,2160,Intro to Health Psychology,PSYC 1101
PSYC 2165 - Intro to Community Psychology,PSYC,2165,Intro to Community Psychology,PSYC 1101
PSYC 2171 - Intro to Ind/Org Psychology,PSYC,2171,Intro to Ind/Org Psychology,PSYC 1101
PSYC 3001 - Topics in Psychology,PSYC,3001,Topics in Psychology,PSYC 1101
PSYC 3111 - Psych of Learning and Memory,PSYC,3111,Psych of Learning and Memory,PSYC 1101 and PSYC 2113
PSYC 3113 - Physiological Psychology,PSYC,3113,Physiological Psychology,PSYC 1101 and PSYC 2101 and PSYC 2113
PSYC 3114 - Motivation,PSYC,3114,Motivation,PSYC 1101 and PSYC 2101
PSYC 3115 - Sensation & Perception,PSYC,3115,Sensation & Perception,PSYC 1101 and PSYC 2113
PSYC 3116 - Human Cognitive Process,PSYC,3116,Human Cognitive Process,PSYC 1101 and PSYC 2113
PSYC 3135 - Psychology of Personality,PSYC,3135,Psychology of Personality,PSYC 1101 and PSYC 2101
PSYC 3136 - Sexual Behavior,PSYC,3136,Sexual Behavior,PSYC 1101 and PSYC 2113
PSYC 3216 - Intro to Cognitive Science,PSYC,3216,Intro to Cognitive Science,PSYC 1101
PSYC 4006 - Advanced Topics in Psychology,PSYC,4006,Advanced Topics in Psychology,PSYC 1101 and PSYC 2101 and (PSYC 2103 or PSYC 2104) and (STAT 1220 or STAT 1221 or STAT 1222)
PSYC 4007 - Adv Topics in Psych Research,PSYC,4007,Adv Topics in Psych Research,PSYC 2103 or PSYC 2104
PSYC 4103 - History and Systems,PSYC,4103,History and Systems,PSYC 1101 and PSYC 2101 and (PSYC 2103 or PSYC 2104) and (STAT 1220 or STAT 1221 or STAT 1222)
PSYC 4316 - Cognitive Neuroscience,PSYC,4316,Cognitive Neuroscience,PSYC 1101 and PSYC 2113
PSYC 4625 - Seminar in Developmental Psyc,PSYC,4625,Seminar in Developmental Psyc,(PSYC 2103 or PSYC 2104) and (PSYC 2120 or PSYC 2121 or PSYC 2124) and PSYC 1101 and PSYC 2101 and (STAT 1220 or STAT 1221 or STAT 1222)
PSYC 4650 - Seminar in Human Adapt & Beh,PSYC,4650,Seminar in Human Adapt & Beh,(PSYC 2103 or PSYC 2104) and PSYC 1101 and PSYC 2101 and (STAT 1220 or STAT 1221 or STAT 1222)
PSYC 4660 - Seminar in Health Psychology,PSYC,4660,Seminar in Health Psychology,(PSYC 2103 or PSYC 2104) and PSYC 1101 and PSYC 2101 and PSYC 2160 and (STAT 1220 or STAT 1221 or STAT 1222)
PSYC 4670 - Seminar in Industrial Psyc,PSYC,4670,Seminar in Industrial Psyc,PSYC 1101 and PSYC 2101 and (PSYC 2103 or PSYC 2104) and PSYC 2171 and (STAT 1220 or STAT 1221 or STAT 1222)
PSYC 4701 - Honors Thesis I,PSYC,4701,Honors Thesis I,PSYC 1101 and PSYC 2101 and PSYC 2103 and (STAT 1220 or STAT 1221 or STAT 1222)
PSYC 4702 - Honors Thesis II,PSYC,4702,Honors Thesis II,PSYC 1101 and PSYC 2101 and PSYC 2103 and (STAT 1220 or STAT 1221 or STAT 1222) and PSYC 4690 or PSYC 4701
PSYC 6145 - App Rsch Des & Prog Eval,PSYC,6145,App Rsch Des & Prog Eval,PSYC 6102
PSYC 1101L - General Psychology Lab,PSYC,1101L,General Psychology Lab,PSYC 1101
READ 5211 - Methods of Literacy,READ,5211,Methods of Literacy,READ 5111 and ELED 5110 and ELED 5112L
READ 5311 - Lit Assess and Tiered Interven,READ,5311,Lit Assess and Tiered Interven,READ 5211 and ELED 5210
RELS 4791 - Honors Thesis,RELS,4791,Honors Thesis,RELS 4790
RESP 5101 - Health Outcomes,RESP,5101,Health Outcomes,RESP 6101
RSCH 6110 - Descriptive & Inferential Stat,RSCH,6110,Descriptive & Inferential Stat,RSCH 6101
RSCH 7140 - Multivariate Statistics,RSCH,7140,Multivariate Statistics,RSCH 6101 and RSCH 6110 and RSCH 6120
RSCH 7160 - Hierarchical Linear Models,RSCH,7160,Hierarchical Linear Models,RSCH 6110 and RSCH 6120
RSCH 8110 - Descriptive & Inferential Stat,RSCH,8110,Descriptive & Inferential Stat,RSCH 8210
RSCH 8112 - Survey Research Methods,RSCH,8112,Survey Research Methods,RSCH 8210
RSCH 8120 - Advanced Statistics,RSCH,8120,Advanced Statistics,RSCH 8210 and RSCH 8110
RSCH 8121 - Qual Data Collect & Analysis,RSCH,8121,Qual Data Collect & Analysis,RSCH 8111
RSCH 8140 - Multivariate Statistics,RSCH,8140,Multivariate Statistics,RSCH 8210 and RSCH 8110 and RSCH 8120
RSCH 8160 - Hierarchical Linear Models,RSCH,8160,Hierarchical Linear Models,RSCH 8110 and RSCH 8120
RSCH 8197 - Exp & Quasi-Exp Evaluations,RSCH,8197,Exp & Quasi-Exp Evaluations,RSCH 8210 or RSCH 7110 and RSCH 8110 or RSCH 6110
RSCH 8410 - Intern in Educational Research,RSCH,8410,Intern in Educational Research,RSCH 8140
RSCH 8411 - Intern in Teaching Ed Rsch,RSCH,8411,Intern in Teaching Ed Rsch,RSCH 8210
RUSS 1202 - Elementary Russian II,RUSS,1202,Elementary Russian II,RUSS 1201
SECD 4140 - Adolescence and Sec Schools,SECD,4140,Adolescence and Sec Schools,MDSK 2100
SEGR 2105 - Comp Methods Sys Engr,SEGR,2105,Comp Methods Sys Engr,ENGR 1202 and MATH 1242
SEGR 2110 - Systems Engineering Concepts,SEGR,2110,Systems Engineering Concepts,SEGR 2105
SEGR 2121 - Intro Logistics Sys & Supply,SEGR,2121,Intro Logistics Sys & Supply,ENGR 1202
"SEGR 3102 - Sys Simulation, Model & Dep",SEGR,3102,"Sys Simulation, Model & Dep",STAT 3128
SEGR 3103 - Human System Interface,SEGR,3103,Human System Interface,SEGR 2105
SEGR 3105 - Com Methods for Sys Engr II,SEGR,3105,Com Methods for Sys Engr II,SEGR 2105
SEGR 3110 - System Design and Deployment,SEGR,3110,System Design and Deployment,SEGR 3105 and PHYS 2102
SEGR 3201 - Operations Research I,SEGR,3201,Operations Research I,MATH 1242 and MATH 2164
SEGR 3202 - Operations Research II,SEGR,3202,Operations Research II,MATH 2164 and STAT 3128
SEGR 3290 - Systems Design Project I,SEGR,3290,Systems Design Project I,SEGR 2110 and SEGR 3110 and (SEGR 3102 or SEGR 3107)
SEGR 3291 - Systems Design Project II,SEGR,3291,Systems Design Project II,SEGR 3290
SEGR 4114 - Production Control Systems,SEGR,4114,Production Control Systems,(STAT 1220 or STAT 1221 or STAT 1222) or STAT 3128 and SEGR 3201 and SEGR 3202
SEGR 4141 - Engr Experimental Design,SEGR,4141,Engr Experimental Design,STAT 3128
SEGR 4170 - Total Quality Systems,SEGR,4170,Total Quality Systems,STAT 3128
SEGR 4201 - Deterministic System Analysis,SEGR,4201,Deterministic System Analysis,MATH 2164
SEGR 4202 - Stochastic System Analysis,SEGR,4202,Stochastic System Analysis,STAT 3128 and MATH 2164 and SEGR 3202
SOCY 2115 - Introduction to Organizations,SOCY,2115,Introduction to Organizations,SOCY 1101 or SOCY 1501 or SOCY 1511
SOCY 2161 - Sociological Social Psychology,SOCY,2161,Sociological Social Psychology,SOCY 1101 or SOCY 1501 or SOCY 1511
SOCY 2169 - Sociology of Health & Illness,SOCY,2169,Sociology of Health & Illness,SOCY 1101 or SOCY 1501 or SOCY 1511
SOCY 3090 - Topics in Sociology,SOCY,3090,Topics in Sociology,SOCY 1101 or SOCY 1501 or SOCY 1511
SOCY 3132 - Sociology of Sport,SOCY,3132,Sociology of Sport,SOCY 1101 or SOCY 1501 or SOCY 1511
SOCY 3143 - Social Movements,SOCY,3143,Social Movements,SOCY 1101 or SOCY 1501 or SOCY 1511
SOCY 3153 - Sociological Theory,SOCY,3153,Sociological Theory,SOCY 1101 or SOCY 1501 or SOCY 1511
SOCY 3155 - Sociological Research Methods,SOCY,3155,Sociological Research Methods,SOCY 1101 or SOCY 1501 or SOCY 1511
SOCY 3173 - Criminology,SOCY,3173,Criminology,SOCY 1101 or SOCY 1501 or SOCY 1511
SOCY 3799 - Honors Thesis in Sociology,SOCY,3799,Honors Thesis in Sociology,SOCY 3798
SOCY 4110 - Sociology of Aging,SOCY,4110,Sociology of Aging,SOCY 1101 or SOCY 1501 or SOCY 1511
