Section Prerequisites for Term: 202510,,,,,,,
,,,,,,,
Term,Subject,Course,Section,CRN,Part of Term,Title,Prerequisites
,,5304,001,20903,1,Structural Systems,ARCH 5303
,,5605,001,21301,1,Computational Practice,ARCH 5604
,,6102,001,20905,1,Design Studio Fundamentals,ARCH 6101
,,6603,001,20904,1,Rep II:  Digital Fundamentals,ARCH 6602
,,7102,001,22601,1,Design Studio Topics,ARCH 7101
,,,002,22603,1,Design Studio Topics,ARCH 7101
,,,003,22600,1,Design Studio Topics,ARCH 7101
,,,004,24925,1,Design Studio Topics,ARCH 7101
,,7104,001,20886,1,Design Studio: Diploma Project,ARCH 7103
,,,002,20887,1,Design Studio: Diploma Project,ARCH 7103
,,,003,21946,1,Design Studio: Diploma Project,ARCH 7103
,,,004,22599,1,Design Studio: Diploma Project,ARCH 7103
,ARTA,3201,001,20791,1,BFA Portfolio Review,ARTB 1201 and ARTB 1202 and ARTB 1203 and ARTB 1204 and ARTB 1206
,,4901,001,22447,1,Senior Thesis 1,ARTA 3201
,,,002,24473,1,Senior Thesis 1,ARTA 3201
,,4902,001,22448,1,Senior Thesis 2,ARTA 3201 and ARTA 4901
,,,002,24474,1,Senior Thesis 2,ARTA 3201 and ARTA 4901
,ARTC,2171,001,20862,1,Ceramics Handbuilding,ARTB 1201 and ARTB 1202 and ARTB 1203 and ARTB 1204 and (ARTB 1206 or ARTG 2180)
,,2172,090,20792,1,Ceramics Wheel 1,ARTB 1201 and ARTB 1202 and ARTB 1203 and ARTB 1204 and (ARTB 1206 or ARTG 2180)
,,3171,001,20794,1,Ceramic Sculpture,ARTC 2171
,,3172,090,21224,1,Ceramics Wheel 2,ARTC 2172
,,3273,001,20795,1,Intermediate Ceramics,ARTC 3171 or ARTC 3172
,,3274,001,26497,1,Advanced Ceramics,ARTC 3273 and ARTA 3201
,ARTD,2134,001,24179,1,Figure Drawing I,ARTB 1203
,,2139,001,22450,1,Drawing 2,ARTB 1201 and ARTB 1202 and ARTB 1203 and ARTB 1204 and (ARTB 1206 or ARTG 2180)
,,3134,001,21217,1,Figure & Anatomy,ARTD 2134 or ARTB 1205
,ARTE,4122,001,20753,1,Secondary Art Methods,ARTE 3121 and ARTE 3123
,,4466,001,23218,1,ARTE Year Long Internship,ARTE 3121 or ARTE 4122
,ARTF,2151,001,26500,1,Fibers 1,ARTB 1201 and ARTB 1202 and ARTB 1203 and ARTB 1204 and (ARTB 1206 or ARTG 2180)
,ARTG,2180,001,21023,1,Design Thinking,ARTB 1201 and ARTB 1203
,,,002,22806,1,Design Thinking,ARTB 1201 and ARTB 1203
,,2181,001,20763,1,Graphic Design I,ARTB 1201 and ARTB 1203
,,2182,001,22406,1,Typography I,ARTB 1201 and ARTB 1203
,,3183,001,20789,1,Graphic Design II,ARTB 1202 and ARTB 1204 and ARTG 2180 and ARTG 2181 and ARTG 2182 and ARTM 2105
,,,090,23260,1,Graphic Design II,ARTB 1202 and ARTB 1204 and ARTG 2180 and ARTG 2181 and ARTG 2182 and ARTM 2105
,,3184,001,20790,1,Typography II,ARTB 1202 and ARTB 1204 and ARTG 2180 and ARTG 2181 and ARTG 2182 and ARTM 2105
,,,002,23267,1,Typography II,ARTB 1202 and ARTB 1204 and ARTG 2180 and ARTG 2181 and ARTG 2182 and ARTM 2105
,,3185,090,22407,1,UX/UI Design Strategies,ARTB 1202 and ARTB 1204 and ARTG 2180 and ARTG 2181 and ARTG 2182 and ARTM 2105
,,3186,001,22409,1,Communications Design,ARTB 1202 and ARTB 1204 and ARTG 2180 and ARTG 2181 and ARTG 2182 and ARTM 2105
,,3408,001,21293,1,Graphic Design Internship,ARTG 3183 and ARTG 3184
,,4180,001,20754,1,Print Production,ARTG 3184 and ARTG 3183 and ARTG 3186
,,,090,26504,1,Print Production,ARTG 3184 and ARTG 3183 and ARTG 3186
,,4182,001,22410,1,Design Research,ARTG 3183 and ARTG 3184 and ARTG 3185 and ARTG 3186
,,4982,001,20755,1,Graphic Design Projects,ARTG 4180 and ARTG 3185 and ARTG 4182 and ARTM 3205
,ARTH,3115,H01,26529,1,Honors Art History Methods,(ARTH 1211 or ARTA 1211) and (ARTH 1212 or ARTA 1212) and (ARTH 2110 or ARTA 2110) and ARTH 2614
,,3121,001,21862,1,Contemporary African Art,ARTH 1211 or ARTH 1212
,,3324,001,26527,1,Ancient Roman Art II,ARTH 1211
,,3393,001,23259,1,History of Photography,ARTH 1212 or ARTA 1212
,,4609,001,26528,1,Prob in Mod & Contemp Art Hist,(ARTH 3390 or ARTH 3393 or ARTH 3394) and ARTH 3114
,ARTL,2186,001,20863,1,Illustration I,ARTB 1201 and ARTB 1202 and ARTB 1203 and ARTB 1204 and (ARTB 1206 or ARTG 2180)
,,3185,001,23866,1,Digital Drawing & Painting,ARTB 1201 and ARTB 1202 and ARTB 1203 and ARTB 1204
,,3286,001,21017,1,Narrative Illus: Entertainment,ARTL 2186 and ARTA 3201
,,4981,001,20784,1,Illustration Projects,ARTA 3201 and ARTL 3186 and ARTL 3286 and ARTA 4600
,ARTM,2105,001,24462,1,4D,ARTB 1201 and ARTB 1202 and ARTB 1203 and ARTB 1204 and (ARTB 1206 or ARTG 2180)
,,3005,001,26565,1,Topics in Digital Media,ARTA 3201
,,3101,090,24464,1,Game Design and Graphics,ARTM 2105
,,3102,001,22388,1,3D Modeling and Animation,ARTM 2105
,,3103,001,20788,1,Animation Production,ARTM 2105 and ARTA 3201
,,3105,001,21436,1,Video Art,ARTM 2105
,,3405,001,22770,1,Internship in Digital Media,ARTM 3103 or ARTM 3105 or ARTM 3205
,ARTP,2131,001,20756,1,Painting I,ARTB 1201 and ARTB 1202 and ARTB 1203 and ARTB 1204 and (ARTB 1206 or ARTG 2180)
,,3132,001,23163,1,Figurative Painting,ARTP 2131 and (ARTD 2134 or ARTB 1205) and ARTA 3201
,,3161,001,22449,1,Mixed Media Painting,ARTP 2131
,ARTR,2161,001,22470,1,Photo-Mechanical Print Media,ARTB 1201 and ARTB 1202 and ARTB 1203 and ARTB 1204 and (ARTB 1206 or ARTG 2180)
,,2162,001,21444,1,Drawing/Expression in Print,ARTB 1201 and ARTB 1202 and ARTB 1203 and ARTB 1204 and (ARTB 1206 or ARTG 2180)
,,3162,001,24290,1,Print Mixed Media,ARTR 2161 or ARTR 2162
,,3263,001,23164,1,Bookmaking & Papermaking,ARTR 2161 or ARTR 2162
,ARTT,2191,001,20786,1,Photo Media I,ARTB 1201 and ARTB 1202 and ARTB 1203 and ARTB 1204 and (ARTB 1206 or ARTG 2180)
,,,002,21618,1,Photo Media I,ARTB 1201 and ARTB 1202 and ARTB 1203 and ARTB 1204 and (ARTB 1206 or ARTG 2180)
,,,003,26566,1,Photo Media I,ARTB 1201 and ARTB 1202 and ARTB 1203 and ARTB 1204 and (ARTB 1206 or ARTG 2180)
,,3193,001,26567,1,Alternative Photo Media,ARTT 2191 or ARTT 3190 or ARTT 3390
,ARTZ,2104,001,20785,1,Installation Art,ARTB 1201 and ARTB 1202 and ARTB 1203 and ARTB 1204 and (ARTB 1206 or ARTG 2180)
,,2141,090,20757,1,Sculpture Methods,ARTB 1201 and ARTB 1202 and ARTB 1203 and ARTB 1204 and (ARTB 1206 or ARTG 2180)
,,2306,001,21425,1,Intro to 3D Mod & Digi Fab,ARTB 1201 and ARTB 1202 and ARTB 1203 and ARTB 1204 and (ARTB 1206 or ARTG 2180)
,,3344,001,24617,1,Mixed Media,ARTC 2171 or ARTC 2172 or ARTZ 2141 or ARTZ 2306
,ATRN,6109,001,22261,1,Clin Eval/Diag Upper Extrem,ATRN 6104
,,6110,001,22262,1,Clin Eval/Diag Head and Spine,ATRN 6104
,,6111,001,22263,1,Therapeutic Interventions,ATRN 6104 and ATRN 6106
,,6121,001,22265,1,Behavioral Health in Sport Med,ATRN 6118
,,6402,001,22266,1,Collegiate Sport Med Clin,ATRN 6401
,,6406,001,22267,1,Immersive Clinical Rotation,ATRN 6405
,BINF,2111,001,21559,1,Intro to BINF Computing,BINF 1101
,,3121,001,21412,1,Statistics for Bioinformatics,BINF 2111 and (MATH 1103 or MATH 1120 or MATH 1121 or MATH 1241 or STAT 1220 or STAT 1221 or STAT 2122)
,,3201,001,21411,1,Genomic Methods,(BIOL 1110 and BIOL 1110L) or (BIOL 2120) and BINF 1101
,,3900,002,27449,1,Undergraduate Research,BINF 1101
,,,003,20986,1,Undergraduate Research,BINF 1101
,,,004,27510,1,Undergraduate Research,BINF 1101
,,4600,001,20985,1,Bioinformatics & Genomics Sem,BINF 3101
,,6112,001,22821,1,Bioinformatics Programming II,BINF 6111
,,6115,001,26496,H1,Introduction to UNIX Computing,BINF 6203
,,6200,001,26570,1,Statistics for Bioinformatics,BINF 6100 and BINF 6111
,,6201,001,21669,1,Molecular Sequence Analysis,BINF 6100
,,6203,001,20708,1,Genomics,BINF 6100
,,6211,001,20814,1,Dsg & Impl Bioinfor Databases,BINF 6111 and BINF 6112
,,6310,001,20987,1,Advanced Stats for Genomics,BINF 6200
,,8112,001,23045,1,Bioinformatics Programming II,BINF 8111
,,8201,001,21672,1,Molecular Sequence Analysis,BINF 8100
,,8203,001,20891,1,Genomics,BINF 8100
,,8310,001,20988,1,Advanced Statistics,BINF 8200
,BIOL,1110L,L01,20770,1,Principles of Biology I Lab,BIOL 1110
,,,L02,20771,1,Principles of Biology I Lab,BIOL 1110
,,,L03,20772,1,Principles of Biology I Lab,BIOL 1110
,,,L04,20773,1,Principles of Biology I Lab,BIOL 1110
,,,L05,20774,1,Principles of Biology I Lab,BIOL 1110
,,,L06,20775,1,Principles of Biology I Lab,BIOL 1110
,,,L07,20776,1,Principles of Biology I Lab,BIOL 1110
,,,L08,20777,1,Principles of Biology I Lab,BIOL 1110
,,,L09,20778,1,Principles of Biology I Lab,BIOL 1110
,,,L10,20897,1,Principles of Biology I Lab,BIOL 1110
,,,L11,26909,1,Principles of Biology I Lab,BIOL 1110
,,,L12,26911,1,Principles of Biology I Lab,BIOL 1110
,,,L80,27431,1,Principles of Biology I Lab,BIOL 1110
,,,L90,26912,1,Principles of Biology I Lab,BIOL 1110
,,,L91,26913,1,Principles of Biology I Lab,BIOL 1110
,,2120,001,21113,1,General Biology I,Test BPLC or BIOL 1110 or Test AP22
,,,002,21231,1,General Biology I,Test BPLC or BIOL 1110 or Test AP22
,,,003,21872,1,General Biology I,Test BPLC or BIOL 1110 or Test AP22
,,,004,21481,1,General Biology I,Test BPLC or BIOL 1110 or Test AP22
,,,005,27403,1,General Biology I,Test BPLC or BIOL 1110 or Test AP22
,,2130,001,20630,1,General Biology II,BIOL 2120 and BIOL 2120L
,,,003,20995,1,General Biology II,BIOL 2120 and BIOL 2120L
,,,004,21232,1,General Biology II,BIOL 2120 and BIOL 2120L
,,,005,21692,1,General Biology II,BIOL 2120 and BIOL 2120L
,,,006,23394,1,General Biology II,BIOL 2120 and BIOL 2120L
,,2130L,L01,23658,1,General Biology II Laboratory,BIOL 2120 and BIOL 2120L
,,,L02,23659,1,General Biology II Laboratory,BIOL 2120 and BIOL 2120L
,,,L03,23660,1,General Biology II Laboratory,BIOL 2120 and BIOL 2120L
,,,L04,23661,1,General Biology II Laboratory,BIOL 2120 and BIOL 2120L
,,,L05,23662,1,General Biology II Laboratory,BIOL 2120 and BIOL 2120L
,,,L06,23663,1,General Biology II Laboratory,BIOL 2120 and BIOL 2120L
,,,L07,23664,1,General Biology II Laboratory,BIOL 2120 and BIOL 2120L
,,,L08,23665,1,General Biology II Laboratory,BIOL 2120 and BIOL 2120L
,,,L09,23666,1,General Biology II Laboratory,BIOL 2120 and BIOL 2120L
,,,L10,23667,1,General Biology II Laboratory,BIOL 2120 and BIOL 2120L
,,,L11,23668,1,General Biology II Laboratory,BIOL 2120 and BIOL 2120L
,,,L12,23669,1,General Biology II Laboratory,BIOL 2120 and BIOL 2120L
,,2259,001,20989,1,Fundamentals of Microbiology,(BIOL 1110 or BIOL 2120) and (CHEM 1203 or CHEM 1251)
,,2259L,L01,20990,1,Fundamentals of Microbio Lab,BIOL 2259
,,,L02,20994,1,Fundamentals of Microbio Lab,BIOL 2259
,,,L03,20991,1,Fundamentals of Microbio Lab,BIOL 2259
,,,L04,21973,1,Fundamentals of Microbio Lab,BIOL 2259
,,,L05,20992,1,Fundamentals of Microbio Lab,BIOL 2259
,,,L06,20993,1,Fundamentals of Microbio Lab,BIOL 2259
,,2274,001,21233,1,Human Anatomy & Physiology II,BIOL 2273
,,3111,001,20647,1,Cell Biology,BIOL 2120 and BIOL 2130 and CHEM 1252 and CHEM 1252L
,,,002,21854,1,Cell Biology,BIOL 2120 and BIOL 2130 and CHEM 1252 and CHEM 1252L
,,3111L,L01,20632,1,Cell Biology Lab,BIOL 3111 and (BIOL 2140L or BIOL 2130L)
,,,L02,20996,1,Cell Biology Lab,BIOL 3111 and (BIOL 2140L or BIOL 2130L)
,,,L03,22931,1,Cell Biology Lab,BIOL 3111 and (BIOL 2140L or BIOL 2130L)
,,,L04,20645,1,Cell Biology Lab,BIOL 3111 and (BIOL 2140L or BIOL 2130L)
,,,L05,20646,1,Cell Biology Lab,BIOL 3111 and (BIOL 2140L or BIOL 2130L)
,,,L06,22932,1,Cell Biology Lab,BIOL 3111 and (BIOL 2140L or BIOL 2130L)
,,,L07,21975,1,Cell Biology Lab,BIOL 3111 and (BIOL 2140L or BIOL 2130L)
,,,L08,22184,1,Cell Biology Lab,BIOL 3111 and (BIOL 2140L or BIOL 2130L)
,,3144,001,20659,1,Ecology,BIOL 2130 and BIOL 2120 and CHEM 1252 and CHEM 1252L
