Section Prerequisites for Term: 202510,,,,,,,
,,,,,,,
Term,Subject,Course,Section,CRN,Part of Term,Title,Prerequisites
,,,644,24426,1,Critical Thinking,(WRDS 1103 or ENGL 1103 or UWRT 1103) or (WRDS 1104 or UWRT 1104)
,,,702,24247,1,Critical Thinking,(WRDS 1103 or ENGL 1103 or UWRT 1103) or (WRDS 1104 or UWRT 1104)
,,,703,24253,1,Critical Thinking,(WRDS 1103 or UWRT 1103) or (WRDS 1104 or UWRT 1104)
,,,704,27442,1,Critical Thinking,(WRDS 1103 or UWRT 1103 or ENGL 1103) or (WRDS 1104 or UWRT 1104)
,,,705,27470,1,Critical Thinking,(WRDS 1103 or UWRT 1103 or ENGL 1103) or (WRDS 1104 or UWRT 1104)
,,,710,24219,1,Critical Thinking,(WRDS 1103 or UWRT 1103) or (WRDS 1104 or UWRT 1104)
,,,711,26367,1,Critical Thinking,(WRDS 1103 or UWRT 1103 or ENGL 1103) or (WRDS 1104 or UWRT 1104)
,,,741,24125,1,Critical Thinking and Communic,(WRDS 1103 or UWRT 1103) or (WRDS 1104 or UWRT 1104)
,,,742,24137,1,Critical Thinking and Communic,(WRDS 1103 or UWRT 1103) or (WRDS 1104 or UWRT 1104)
,,,H71,24359,1,Critical Thinking,(WRDS 1103 or UWRT 1103) or (WRDS 1104 or UWRT 1104)
,,,H72,24395,1,Critical Thinking,(WRDS 1103 or UWRT 1103) or (WRDS 1104 or UWRT 1104)
,,,H73,24397,1,Critical Thinking,(WRDS 1103 or UWRT 1103) or (WRDS 1104 or UWRT 1104)
,,,H74,27305,1,Critical Thinking,(WRDS 1103 or UWRT 1103 or ENGL 1103) or (WRDS 1104 or UWRT 1104)
,DANC,1210,001,22486,1,Ballet for Majors I B,DANC 1209
,,,002,26545,1,Ballet for Majors I B,DANC 1209
,,1218,001,22489,1,Modern Dance for Majors IB,DANC 1217
,,2210,001,20350,1,Ballet for Majors II B,DANC 2209
,,2216,001,23643,1,Choreography I,DANC 1280 and DANC 1210 and DANC 1217
,,2218,001,20452,1,Modern Dance for Majors IIB,DANC 2217
,,2403,001,27495,1,Dancing for Choreographers,DANC 1209 or DANC 1210 or DANC 1217 or DANC 1218 or DANC 2209 or DANC 2210 or DANC 2217 or DANC 2218 or DANC 3210 or DANC 3218
,,3131,001,23647,1,Hip Hop and Street Dance,DANC 2130
,,3202,002,24877,1,Prof Train Cert in Dance,DANC 3201
,,3210,001,20342,1,Ballet for Majors III,DANC 2210
,,3218,001,25196,1,Modern Dance for Majors III,DANC 2218
,,3230,001,22542,1,Choreography II,DANC 2216
,,4202,001,24013,1,Prof Train Cert in Dance,DANC 4201
,,4227,001,25197,1,Elementary Methods,DANC 1209 and DANC 1217 and DANC 1280 and (EDUC 1100 or EDUC 2100 or EDUC 1511) and SPED 2100
,,4328,001,25198,1,Teaching Dance,DANC 1280 and DANC 2119
,,,002,25684,1,Teaching Dance,DANC 1280 and DANC 2119
,,4800,001,27143,1,Dance Capstone Project,DANC 4110
,,,002,27144,1,Dance Capstone Project,DANC 4110
,DSBA,6156,U90,21286,1,Applied Machine Learning,DSBA 6201 or HCIP 6102
,,,U91,21873,1,Applied Machine Learning,DSBA 6201 or HCIP 6102
,,6162,U01,23285,1,Data Mining,DSBA 6160
,,6165,U90,22501,1,AI & Deep Learning,DSBA 6156
,,6190,U90,22172,1,Cloud Comput for Data Analysis,DSBA 6160 and DSBA 6156
,,6211,U01,21539,1,Advanced Business Analytics,DSBA 6201 or DSBA 6162
,,,U90,21538,1,Advanced Business Analytics,DSBA 6201 or DSBA 6162
,DTSC,2301,001,22536,H1,Modeling and Society,DTSC 1302 and (STAT 1220 or STAT 1221 or STAT 1222)
,,,002,24598,H1,Modeling and Society,DTSC 1302 and (STAT 1220 or STAT 1221 or STAT 1222)
,,2302,001,22537,H2,Modeling and Society,DTSC 1301 and DTSC 1302 and (STAT 1220 or STAT 1221 or STAT 1222)
,,,002,24599,H2,Modeling and Society,DTSC 1301 and DTSC 1302 and (STAT 1220 or STAT 1221 or STAT 1222)
,,4301,001,22541,H1,Data Science for Social Good A,DTSC 3602 and STAT 2223
,,4302,001,22543,H2,Data Science for Social Good B,STAT 2223 and DTSC 3602
,ECGR,2104,002,21414,1,Computer Engr Programming II,ECGR 2103 or ITSC 1212 or ITCS 1212 or ITIS 1212
,,,091,21166,1,Computer Engr Programming II,ECGR 2103 or ITSC 1212 or ITCS 1212 or ITIS 1212
,,2111,001,20644,1,Network Theory I,MATH 2171
,,2112,001,20651,1,Network Theory II,(ECGR 2111 or ECGR 2161) and MATH 2171 and PHYS 2102 and ECGR 2254
,,,002,20621,1,Network Theory II,(ECGR 2111 or ECGR 2161) and MATH 2171 and PHYS 2102 and ECGR 2254
,,2155,L02,21415,1,Instrum and Networks Lab,MATH 1242 and ECGR 2111
,,,L03,24660,1,Instrum and Networks Lab,MATH 1242 and ECGR 2111
,,,L91,26598,1,Instrum and Networks Lab,MATH 1242 and ECGR 2111
,,2156,L01,23015,1,Logic and Networks Lab,ECGR 2155 and ECGR 2112 and ECGR 2181
,,,L02,23016,1,Logic and Networks Lab,ECGR 2155 and ECGR 2112 and ECGR 2181
,,,L04,24661,1,Logic and Networks Lab,ECGR 2155 and ECGR 2112 and ECGR 2181
,,,L05,26600,1,Logic and Networks Lab,ECGR 2155 and ECGR 2112 and ECGR 2181
,,2161,L01,25697,1,Basic Electrical Engineering I,PHYS 2102
,,,L02,20474,1,Basic Electrical Engineering I,PHYS 2102
,,,L03,21154,1,Basic Electrical Engineering I,PHYS 2102
,,,L04,21155,1,Basic Electrical Engineering I,PHYS 2102
,,,L05,21156,1,Basic Electrical Engineering I,PHYS 2102
,,,L06,21157,1,Basic Electrical Engineering I,PHYS 2102
,,,L07,21158,1,Basic Electrical Engineering I,PHYS 2102
,,,L08,21159,1,Basic Electrical Engineering I,PHYS 2102
,,,L09,21160,1,Basic Electrical Engineering I,PHYS 2102
,,,L10,21161,1,Basic Electrical Engineering I,PHYS 2102
,,,L11,21248,1,Basic Electrical Engineering I,PHYS 2102
,,,L12,22239,1,Basic Electrical Engineering I,PHYS 2102
,,,L13,22240,1,Basic Electrical Engineering I,PHYS 2102
,,,L14,22241,1,Basic Electrical Engineering I,PHYS 2102
,,,L15,22242,1,Basic Electrical Engineering I,PHYS 2102
,,,L16,25699,1,Basic Electrical Engineering I,PHYS 2102
,,,L17,25698,1,Basic Electrical Engineering I,PHYS 2102
,,,L18,25700,1,Basic Electrical Engineering I,PHYS 2102
,,2181,001,20611,1,Logic System Design I,MATH 1242
,,2254,001,22511,1,Analytical Foundations of ECE,MATH 2171 and MATH 2164
,,,002,23024,1,Analytical Foundations of ECE,MATH 2171 and MATH 2164
,,3111,001,20655,1,Signals and Systems,ECGR 2112 and ECGR 2254
,,3112,001,20652,1,System Analysis II,ECGR 3111
,,3121,001,22769,1,Intro Electromagnetic Fields,ECGR 2112 and MATH 2241
,,3122,001,20650,1,Electromagnetic Waves,ECGR 3121
,,3123,091,20662,1,Data Comm and Networking,ECGR 2181 and ECGR 2111
,,3131,001,20648,1,Fund Electronics & Semiconduct,ECGR 2112
,,3132,001,20640,1,Electronics,ECGR 3131
,,3142,001,20660,1,Electrical Energy Conversion,ECGR 3121
,,3155,L01,20602,1,Systems & Electronics Lab,ECGR 2112 and ECGR 2156 and ECGR 3111 and ECGR 3131
,,,L92,23028,1,Systems & Electronics Lab,ECGR 2112 and ECGR 2156 and ECGR 3111 and ECGR 3131
,,3156,L02,21021,1,Electromag & Elec Devices Lab,ECGR 3155 and ECGR 3132
,,,L03,22803,1,Electromag & Elec Devices Lab,ECGR 3155 and ECGR 3132
,,,L91,20603,1,Electromag & Elec Devices Lab,ECGR 3155 and ECGR 3132
,,3157,001,21632,1,ECE Junior Design,ECGR 3111 and ECGR 3131
,,,002,26601,1,ECE Junior Design,ECGR 3111 and ECGR 3131
,,3183,001,21491,1,Computer Organization,ECGR 2104 and ECGR 2181
,,3695,001,23113,1,ECGR Educ Co-op Seminar,ENGR 3590 or ENGR 3500
,,4105,001,23061,1,Introduction to ML,ECGR 3111 or ECGR 3101
,,4106,001,22532,1,Real-Time Machine Learning,ECGR 3101 or ECGR 3111
,,4123,001,26610,1,Analog & Digital Communication,ECGR 3111
,,4124,001,21445,1,Digital Signal Processing,ECGR 3111
,,4125,091,22544,1,Found of Optical Engineering,ECGR 3121 and PHYS 3141
,,4127,001,22546,1,Machine Learning for IoT,ECGR 4105 or ECGR 5105
,,4142,001,21447,1,Power System Analysis II,ECGR 4141
,,4143,091,24665,1,Electrical Machinery,ECGR 3142
,,4146,001,21851,1,Intro to VHDL,ECGR 2181
,,4151,001,26741,1,Solar Cell Fundmntls & Technlg,ENGR 1202
,,4189,091,26742,1,Cloud Native Architecture,ECGR 3180
,,4190,001,21455,1,Power Generation: Oper & Cntrl,ECGR 4141
,,4241,E01,21583,1,Elec Engr Senior Design I,ECGR 3121 and ECGR 3111 and ECGR 3131 and ECGR 3157
,,,E02,21585,1,Elec Engr Senior Design I,ECGR 3121 and ECGR 3111 and ECGR 3131 and ECGR 3157
,,,PE1,21694,1,Elec Engr Senior Design I,ECGR 3121 and ECGR 3111 and ECGR 3131 and ECGR 3157
,,4242,E01,21695,1,Elec Engr Senior Design II,ECGR 4241
,,,E02,21697,1,Elec Engr Senior Design II,ECGR 4241
,,,E03,21698,1,Elec Engr Senior Design II,ECGR 4241
,,,PE1,21699,1,Elec Engr Senior Design II,ECGR 4241
,,4251,CP1,21590,1,Comp Engr Senior Design I,ECGR 3101 and ECGR 3111 and ECGR 3131 and ECGR 3157
,,,CP2,21591,1,Comp Engr Senior Design I,ECGR 3101 and ECGR 3111 and ECGR 3131 and ECGR 3157
,,4252,CP1,21700,1,Comp Engr Senior Design II,ECGR 4251
,,,CP2,21701,1,Comp Engr Senior Design II,ECGR 4251
,,,CP3,21702,1,Comp Engr Senior Design II,ECGR 4251
,,4433,001,22587,1,VLSI Systems Design,ECGR 3131 and ECGR 2181
,,5127,001,23068,1,Machine Learning for IoT,ECGR 5105
,,6115,001,25881,1,Optimal Control Theory,ECGR 6111
,,6197,001,26754,1,Power Electronics II,ECGR 5144
,,8115,001,25882,1,Optimal Control Theory,ECGR 8111
,,8197,001,26756,1,Power Electronics II,ECGR 5144
,ECON,3112,001,21350,1,Econometrics,(ECON 2101 or ECON 1201) and (ECON 2102 or ECON 1202) and (MATH 1120 or MATH 1241 or MATH 1242) and (STAT 1220 or STAT 1221 or STAT 1222) and INFO 2130
,,,002,21482,1,Econometrics,(ECON 2101 or ECON 1201) and (ECON 2102 or ECON 1202) and (MATH 1120 or MATH 1241 or MATH 1242) and (STAT 1220 or STAT 1221 or STAT 1222) and INFO 2130
,,,003,21916,1,Econometrics,(ECON 2101 or ECON 1201) and (ECON 2102 or ECON 1202) and (MATH 1120 or MATH 1241 or MATH 1242) and (STAT 1220 or STAT 1221 or STAT 1222) and INFO 2130
,,3115,090,21917,1,Money and Banking,ECON 2101 and ECON 2102 and (MATH 1120 or MATH 1241) and (STAT 1220 or STAT 1221 or STAT 1222)
,,3122,001,21351,1,Intermediate Microeconomics,ECON 2101 and ECON 2102 and (MATH 1120 or MATH 1241 or MATH 1242) and (STAT 1220 or STAT 1221 or STAT 1222)
,,3123,090,21060,1,Intermediate Macroeconomics,ECON 2101 and ECON 2102 and (MATH 1120 or MATH 1242 or MATH 1241) and (STAT 1220 or STAT 1221 or STAT 1222)
,,3125,001,20154,1,Managerial Economics,(MATH 1120 or MATH 1241 or MATH 1242) and (STAT 1220 or STAT 1221 or STAT 1222 or STAT 2122) and INFO 2130 and (ECON 2102 or ECON 1202)
,,,002,21054,1,Managerial Economics,(MATH 1120 or MATH 1241 or MATH 1242) and (STAT 1220 or STAT 1221 or STAT 1222 or STAT 2122) and INFO 2130 and (ECON 2102 or ECON 1202)
,,,003,21167,1,Managerial Economics,(MATH 1120 or MATH 1241 or MATH 1242) and (STAT 1220 or STAT 1221 or STAT 1222 or STAT 2122) and INFO 2130 and (ECON 2102 or ECON 1202)
,,,004,20155,1,Managerial Economics,(MATH 1120 or MATH 1241 or MATH 1242) and (STAT 1220 or STAT 1221 or STAT 1222 or STAT 2122) and INFO 2130 and (ECON 2102 or ECON 1202)
,,,080,21390,H2,Managerial Economics,(MATH 1120 or MATH 1241 or MATH 1242) and (STAT 1220 or STAT 1221 or STAT 1222 or STAT 2122) and INFO 2130 and (ECON 2102 or ECON 1202)
,,3141,001,27010,1,Health Economics,(ECON 2102 or ECON 1202) and (ECON 2101 or ECON 1201) and (MATH 1120 or MATH 1241) and (STAT 1220 or STAT 1221 or STAT 1222)
,,3161,001,23279,1,Game Theory,(ECON 2101 or ECON 1201) and (ECON 2102 or ECON 1202) and (MATH 1120 or MATH 1241) and (STAT 1220 or STAT 1221 or STAT 1222)
,,3171,001,21196,1,International Busn Economics,(ECON 2101 or ECON 1201) and (ECON 2102 or ECON 1202)
,,4112,001,21352,1,Econometrics II,ECON 3112 and ECON 2101 and ECON 2102 and (MATH 1120 or MATH 1241) and (STAT 1220 or STAT 1221 or STAT 1222)
,,4117,001,20870,1,Busn & Econ Forecasting,ECON 3112 and ECON 2101 and ECON 2102 and INFO 2130 and (MATH 1120 or MATH 1241) and (STAT 1220 or STAT 1221 or STAT 1222)
,,4172,001,22701,1,Econ of International Finance,ECON 3123 or (ECON 3171 and ECON 2102) and ECON 2101 and ECON 2102 and (MATH 1120 or MATH 1241) and (STAT 1220 or STAT 1221 or STAT 1222)
,,4200,001,21535,1,Senior Seminar,ECON 3112 and ECON 3122 and ECON 3123
,,,002,21197,1,Senior Seminar,ECON 3112 and ECON 3122 and ECON 3123
,,6217,090,21765,1,Advanced Microeconometrics,ECON 6112 or ECON 6113
,,6218,U90,20156,1,Adv Busn & Econ Forecasting,ECON 6112
,,6219,001,27302,1,Financial Econometrics,ECON 6218 or MATH 6201
,,6238,U90,27304,1,Real Estate & Urban Economics,ECON 2102
,,6257,U90,21666,1,Applied Computational Econ,ECON 6201 and ECON 6202
,,6901,090,20157,1,Research Methods for Econ I,ECON 6112 or ECON 6113 and (ECON 6201 or ECON 6202 or ECON 6203)
,,6902,090,22703,1,Research Methods for Econ II,ECON 6901
,EDCI,8157,090,25643,1,Analysis of Inqry C&I Edu Dev.,RSCH 8110 and RSCH 8111 and RSCH 8210
,,8263,090,25648,1,Anti-Racism Activism in Ed.,EDCI 8260 and EDCI 8261 and EDCI 8262 and ELED 6260 and ELED 6261 and ELED 6262
,,8475,001,22352,1,College Co-Teaching Internship,EDCI 8681
,EDUC,4200,081,24455,1,Current Issues in Global Educ,(EDUC 1100 or EDUC 2100 or EDUC 1511) and LBST 2301 and (INTL 2100 or INTL 2121 or INTL 2131) and (INTL 1101 or INTL 1501)
,,4201,081,24457,1,Theory and Practice Seminar,(EDUC 1100 or EDUC 2100 or EDUC 1511) and (INTL 1101 or INTL 1501) and LBST 2301 and (INTL 2100 or INTL 2121 or INTL 2131) and EDUC 4200
,,6152,080,24356,H1,Principles of Coaching II,EDUC 6150
,,6153,080,24354,H2,Appl of Coaching Principles,(EDUC 6150 and EDUC 6151) and EDUC 6152
,ELDT,6121,085,23145,1,Advanced Instructional Design,EIST 6110 or ELDT 6110
,,6180,085,26232,1,LDT Proj Mngmnt and Leadership,ELDT 6100 and ELDT 6110 and ELDT 6130
,,6492,085,22725,1,Capstone Proj in LDT,(EIST 6100 or ELDT 6100) and (EIST 6110 or ELDT 6110) and (EIST 6130 or ELDT 6130)
,,,086,24025,1,Capstone Proj in LDT,(EIST 6100 or ELDT 6100) and (EIST 6110 or ELDT 6110) and (EIST 6130 or ELDT 6130)
,ELED,5210,080,22522,1,Teach Math to El Sch Learners,ELED 5110 and READ 5111
,,,081,26098,1,Teach Math to El Sch Learners,ELED 5110 and READ 5111
,,5310,080,23098,1,Teach and Assess Elem Math,ELED 5210 and READ 5211
,,6263,081,22631,1,Anti-Racist Activism in Educ,ELED 6260 and ELED 6261 and ELED 6262
,ELET,2241,001,21739,1,Instrumentation and Controls,ETEL 2101 or ETGR 2106
,,3232,080,22957,1,Adv Microcontroller Systems,ELET 1102 and ELET 2231
,,3242,080,24350,1,Fundamentals Control Systems,ELET 3113
,EMGT,5114,08O,23765,1,Production Control Systems,EMGT 5202
,,,O90,23766,1,Production Control Systems,EMGT 5202
,,5141,08G,23768,1,Engr Experimental Design,EMGT 5202
,,,G90,23769,1,Engr Experimental Design,EMGT 5202
,,5170,S90,22380,1,Total Quality Systems,EMGT 5202
,,5202,08Z,21919,1,Stochastic System Analysis,EMGT 5201
,,,Z90,21920,1,Stochastic System Analysis,EMGT 5201
,,6965,08H,27270,1,Energy Analytics,EMGT 5202
,,,H90,27275,1,Energy Analytics,EMGT 5202
,,6985,08H,21684,1,Engineering Mgmt Project,EMGT 6980
,,,H90,21685,1,Engineering Mgmt Project,EMGT 6980
,ENGL,3201,001,21255,1,Intermediate Poetry Writing,ENGL 2125 or ENGL 2126 or ENGL 2127 or ENGL 2128 or ENGL 2200 or ENGL 2201 or ENGL 2202
,,3202,001,21130,1,Intermediate Fiction Writing,ENGL 2125 or ENGL 2126 or ENGL 2127 or ENGL 2128 or ENGL 2200 or ENGL 2201 or ENGL 2202
,,4202,090,21542,1,Advanced Poetry Writing,ENGL 2126 or ENGL 2127 or ENGL 2125 or ENGL 2200 or ENGL 2201 or ENGL 2202
,,4203,001,21776,1,Advanced Fiction Writing,ENGL 2126 or ENGL 2125 or ENGL 2128 or ENGL 2200 or ENGL 2201 or ENGL 2202
,,4206,001,23512,1,Writing Creative Nonfiction,ENGL 2125 or ENGL 2126 or ENGL 2127 or ENGL 2128 or ENGL 2200 or ENGL 2201 or ENGL 2202
,,4209,001,23012,1,Fiction Writing Workshop,ENGL 2125 or ENGL 2126 or ENGL 2128 or ENGL 2200 or ENGL 2201 or ENGL 2202
,,4254,090,20596,1,Tch Engl/Comm Skills MDSK Lrnr,MDLG 3130 or SECD 4140 and MDSK 3100 and MDSK 3151 and MDSK 4210
,,5181,090,20589,1,Writing User Documents,ENGL 2116
,,5254,080,20598,1,Tch En/Comm Skills Middle Sec,MDSK 6162 and (MDSK 6162L or MDSK 6163) and MDSK 5204
,,6495,001,27512,1,Internship in College Teaching,ENGL 6195
,ENGR,1201,002,23132,1,Intro to Engr Pract & Princ I,MATH 1103 or Test MPLC or MATH 1241 or MATH 1242 or MATH 2241
,,,004,22401,1,Intro to Engr Pract & Princ I,MATH 1103 or Test MPLC or MATH 1241 or MATH 1242 or MATH 2241
,,,005,23135,1,Intro to Engr Pract & Princ I,MATH 1103 or Test MPLC or MATH 1241 or MATH 1242 or MATH 2241
,,,007,24362,1,Intro to Engr Pract & Princ I,MATH 1103 or Test MPLC or MATH 1241 or MATH 1242 or MATH 2241
,,,008,24363,1,Intro to Engr Pract & Princ I,MATH 1103 or Test MPLC or MATH 1241 or MATH 1242 or MATH 2241
,,,009,25865,1,Intro to Engr Pract & Princ I,MATH 1103 or Test MPLC or MATH 1241 or MATH 1242 or MATH 2241
,,,010,23134,1,Intro to Engr Pract & Princ I,MATH 1103 or Test MPLC or MATH 1241 or MATH 1242 or MATH 2241
,,,011,22402,1,Intro to Engr Pract & Princ I,MATH 1103 or Test MPLC or MATH 1241 or MATH 1242 or MATH 2241
,,,012,25866,1,Intro to Engr Pract & Princ I,MATH 1103 or Test MPLC or MATH 1241 or MATH 1242 or MATH 2241
,,,013,25867,1,Intro to Engr Pract & Princ I,MATH 1103 or Test MPLC or MATH 1241 or MATH 1242 or MATH 2241
,,1202,C01,20690,1,Intro Engr Pract & Prin II,ENGR 1201 and MATH 1241
,,,EC1,21594,1,Intro Engr Pract & Prin II,ENGR 1201 and MATH 1241
,,,EC2,21408,1,Intro Engr Pract & Prin II,ENGR 1201 and MATH 1241
,,,M01,20196,1,Intro Engr Pract & Prin II,ENGR 1201 and MATH 1241
,,,M02,20197,1,Intro Engr Pract & Prin II,ENGR 1201 and MATH 1241
,,,M03,20198,1,Intro Engr Pract & Prin II,ENGR 1201 and MATH 1241
,,,M04,20200,1,Intro Engr Pract & Prin II,ENGR 1201 and MATH 1241
,,,M05,20201,1,Intro Engr Pract & Prin II,ENGR 1201 and MATH 1241
,,,M06,25073,1,Intro Engr Pract & Prin II,ENGR 1201 and MATH 1241
,,,M07,26343,1,Intro Engr Pract & Prin II,ENGR 1201 and MATH 1241
,,,S01,20349,1,Intro Engr Pract & Prin II,ENGR 1201 and MATH 1241
,,3790,001,23478,1,Engineering Honors Seminar I,ECGR 3253 or ECGR 4241 or ECGR 4251 or ETGR 4100 or MEGR 3255 or MEGR 3275 or MEGR 3355 or MEGR 3455 or SEGR 3290
,,3791,001,21527,1,Engineering Honors Seminar II,ENGR 3790 and (CEGR 3201 or CMET 4272 or ECGR 3254 or ECGR 4242 or ECGR 4252 or ETCE 4272 or ETGR 4200 or MEGR 3256 or MEGR 3276 or MEGR 3356 or MEGR 3456 or SEGR 3291)
,ENVE,3111,001,26767,1,Construction Engineering,CEGR 3141
,EPID,8274,001,23525,1,Adv Methods in Epidemiology,HLTH 6211
,,8275,001,26727,1,Spatial Epidemiology,HLTH 8270
,ESCI,1101L,L01,20204,1,Earth Science - Geography Lab,ESCI 1101
,,,L02,20206,1,Earth Science - Geography Lab,ESCI 1101
,,,L03,20208,1,Earth Science - Geography Lab,ESCI 1101
,,,L04,20209,1,Earth Science - Geography Lab,ESCI 1101
,,,L05,20210,1,Earth Science - Geography Lab,ESCI 1101
,,,L06,20211,1,Earth Science - Geography Lab,ESCI 1101
,,,L07,20212,1,Earth Science - Geography Lab,ESCI 1101
,,,L08,20213,1,Earth Science - Geography Lab,ESCI 1101
,,,L09,20214,1,Earth Science - Geography Lab,ESCI 1101
,,,L10,20215,1,Earth Science - Geography Lab,ESCI 1101
,,,L11,20216,1,Earth Science - Geography Lab,ESCI 1101
,,,L12,20218,1,Earth Science - Geography Lab,ESCI 1101
,,,L14,22030,1,Earth Science - Geography Lab,ESCI 1101
,,,L90,20219,1,Earth Science - Geography Lab,ESCI 1101
,,,L91,20220,1,Earth Science - Geography Lab,ESCI 1101
,,,L92,20221,1,Earth Science - Geography Lab,ESCI 1101
,,,L93,20223,1,Earth Science - Geography Lab,ESCI 1101
,,2210,001,21170,1,Field Meth in Earth & Env Sci,ESCI 1101 and (GEOL 1200 or GEOL 1200X) and GEOL 1200L and ESCI 1101L
,,2222,001,24006,1,Environmental Science,ESCI 1101 and ESCI 1501
,,3000,001,26406,1,Topics in Earth Sciences,ESCI 1101 or GEOL 1200 and GEOL 1200L
,,,002,26506,1,Topics in Earth Sciences,ESCI 1101 or GEOL 1200 and GEOL 1200L
,,3101,001,21759,1,Global Environmental Change,ESCI 1101 or METR 1102
,,,002,26469,1,Global Environmental Change,ESCI 1101 or METR 1102
,,3205,001,21112,1,Water Resources,ESCI 2222
,,4000,002,26408,1,Topics in Earth Sciences,ESCI 1101 and (GEOL 1200 or GEOL 1200X) and GEOL 1200L
,,,003,26440,1,Topics in Earth Sciences,ESCI 1101 and (GEOL 1200 or GEOL 1200X) and GEOL 1200L
,,4122,001,24036,1,Statistics in Earth Sciences,STAT 1220 or STAT 1221 or STAT 1222 or MATH 2122 or STAT 2122 or MATH 3122 or STAT 3122
,,4190,001,26438,1,Cont. Environmental Issues,ESCI 2222
,,4600,001,21374,1,Earth & Env Sciences Seminar,(ESCI 1101 or ESCI 1101X) and ESCI 1101L and (GEOL 1200 or GEOL 1200X) and GEOL 1200L
,,,002,22167,1,Earth & Env Sciences Seminar,(ESCI 1101 or ESCI 1101X) and ESCI 1101L and (GEOL 1200 or GEOL 1200X) and GEOL 1200L
,,5000,003,26410,1,Topics in Earth Sciences,ESCI 1101 and (GEOL 1200 or GEOL 1200X) and GEOL 1200L
,,,004,26441,1,Topics in Earth Sciences,ESCI 1101 and (GEOL 1200 or GEOL 1200X) and GEOL 1200L
,,5222,001,26401,1,Watershed Science,ESCI 5140
,ETCE,1211,001,21742,1,Construction Surveying I,MATH 1103 and ETCE 1104
,,1211L,L01,21744,1,Construction Surveying I Lab,MATH 1103
,,,L02,21745,1,Construction Surveying I Lab,MATH 1103
,,,L03,21746,1,Construction Surveying I Lab,MATH 1103
,,,L04,27297,1,Construction Surveying I Lab,MATH 1103
,,2163L,L01,22424,1,Construction Mat. and Str. Lab,ETCE 1222 and ETGR 2102
,,,L02,22425,1,Construction Mat. and Str. Lab,ETCE 1222 and ETGR 2102
,,2410,001,21735,1,Intro Environ Engr Tech,MATH 1103 and ETGR 2101
,,3163,001,22423,1,Structural Analysis & Design I,ETGR 2102
,,3242,001,21747,1,Hydraulics & Hydrology,ETGR 2102 and ETCE 2410 and PHYS 1102
,,4266,001,21736,1,Reinforced Concrete Design,ETCE 3163 or ETCE 3111 or ETCE 3264 or ETCE 3112
,,4350,001,21738,1,Const Geotech & Foundations,ETCE 3131
,ETEL,2101,001,27251,1,Circuit Fundamentals,MATH 1103
,,2271,001,24352,1,Digital Fundamentals,MATH 1103 and ETEL 2171
,,2281,001,24353,1,Doing and Making,ETEL 2181 and ETEL 2271
,,3231,001,26357,1,"Power, Machines and Energy",ETEL 3131 or ELET 2241
,,3261,001,26176,1,Applied Control Systems,ETEL 3101
,,4161,001,26178,1,Elements of Automation,ETEL 3181
,ETFS,3103L,L01,26358,1,Fire Behavior Lab,ETFS 3103
,ETGR,1201,031,24364,1,Intro to Engr Tech,MATH 1100 or MATH 1101
,,,032,25870,1,Intro to Engr Tech,MATH 1100 or MATH 1101
,,2101,001,22078,1,Applied Mechanics I,MATH 1103
,,2102,001,21427,1,Applied Mechanics II,ETGR 2101
,,2106,001,21466,1,Electronic Circuits & Devices,MATH 1103
,,2272,001,20973,1,Engineering Analysis II,ETGR 2171 or MATH 1121 or MATH 1241
,,3171,001,21085,1,Engineering Analysis III,MATH 1242 or ETGR 2272
,,,ON1,21264,1,Engineering Analysis III,MATH 1242 or ETGR 2272
,,4100,001,20843,1,Capstone Design Project I,(ETME 3100 and ETME 3113 and ETME 3143 or ETME 3250 and ETME 3150 and ETME 3213) or ETEL 3281
,,,080,21087,1,Capstone Design Project I,(ETME 3100 and ETME 3113 and ETME 3143 or ETME 3250 and ETME 3150 and ETME 3213) or ETEL 3281
,,4200,001,21754,1,Capstone Design Project II,ETGR 4100
,,,002,21753,1,Capstone Design Project II,ETGR 4100
,,4302,001,22005,1,Industrial Hygiene,ETGR 2230 and CHEM 1200 and (MATH 1100 or MATH 1101) and PHYS 1101
,,,080,26297,1,Industrial Hygiene,ETGR 2230 and CHEM 1200 and (MATH 1100 or MATH 1101) and PHYS 1101
,,4303,001,22006,1,Applied Ergo & Human Factors,ETGR 2230 and (MATH 1100 or MATH 1101) and PHYS 1101
,,,080,22432,1,Applied Ergo & Human Factors,ETGR 2230 and (MATH 1100 or MATH 1101) and PHYS 1101
,ETME,1112,001,21089,1,CAD Modeling II,ETME 1111
,,,002,21090,1,CAD Modeling II,ETME 1111
,,2102,001,20376,1,Mechanisms,ETME 1111 and (PHYS 1101 or PHYS 2101) and (MATH 1121 or MATH 1241)
,,,002,26901,1,Mechanisms,ETME 1111 and (PHYS 1101 or PHYS 2101) and (MATH 1121 or MATH 1241)
,,2142,001,24129,1,Applied Manufacturing,ETGR 1101 or ETGR 1201
,,3100,001,21091,1,Junior Design Practicum,ETME 2100 and ETME 3133
,,3123L,L01,22947,1,Stress Analysis Laboratory,ETME 3123 and (UWRT 1103 or WRDS 1103) or (UWRT 1104 or WRDS 1104)
,,,L02,22948,1,Stress Analysis Laboratory,ETME 3123 and (UWRT 1103 or WRDS 1103) or (UWRT 1104 or WRDS 1104)
,,3150,001,21094,1,App CAD Modeling & Simulation,ETME 1111 and ETME 2102 and ETME 3123
